sparse CPU N = 50
nz, f, t, status, iter, tot_time, sol_time, fun_eval_time, lin_sol_time
4,983.346717909677,0.583,first_order,26.0,0.0,0.0,0.0,0.0
5,1092.5487167797983,4.997,first_order,28.0,0.0,0.0,0.0,0.0
6,1263.0928232180886,17.47,first_order,27.0,0.0,0.0,0.0,0.0
7,1518.3509911419824,69.085,first_order,27.0,0.0,0.0,0.0,0.0
8,1913.7406324632466,689.0409999999999,first_order,32.0,0.0,0.0,0.0,0.0
9,2521.422574465163,3099.5480000000002,first_order,30.0,0.0,0.0,0.0,0.0
condensed CPU N = 50
nz, f, t, status, iter, tot_time, sol_time, fun_eval_time, lin_sol_time
4,983.3467181465821,0.4537229537963867,SOLVE_SUCCEEDED,27.0,0.4537229537963867,0.40470807179638674,0.029269589,0.019745293
5,1092.5487167790998,1.0093350410461426,SOLVE_SUCCEEDED,32.0,1.0093350410461426,0.9347531330461426,0.051453548000000016,0.023128359999999997
6,1263.09282321902,1.6637840270996094,SOLVE_SUCCEEDED,29.0,1.6637840270996094,1.5616553700996094,0.080397636,0.021731021000000003
7,1518.3509911340661,3.359294891357422,SOLVE_SUCCEEDED,33.0,3.359294891357422,3.181068629357422,0.153858732,0.024367529999999995
8,1913.740632459987,10.072466850280762,SOLVE_SUCCEEDED,37.0,10.072466850280762,9.761077422280762,0.2811176229999999,0.030271804999999995
9,2521.422574460041,7.787759065628052,SOLVE_SUCCEEDED,37.0,7.787759065628052,7.426439177628052,0.327954386,0.03336550200000002
10,3425.738650213927,9.690274953842163,SOLVE_SUCCEEDED,36.0,9.690274953842163,9.193438070842163,0.46380906399999994,0.033027819
11,4719.302712195553,13.862529039382935,SOLVE_SUCCEEDED,37.0,13.862529039382935,13.146656797382935,0.6819701340000003,0.03390210800000001
12,6498.97607086692,18.136157989501953,SOLVE_SUCCEEDED,37.0,18.136157989501953,17.222096321501954,0.8796453270000002,0.03441634100000001
13,8862.730121741071,22.634485006332397,SOLVE_SUCCEEDED,38.0,22.634485006332397,21.445626502332395,1.15367407,0.03518443399999999
14,11907.748309347779,25.61980414390564,SOLVE_SUCCEEDED,38.0,25.61980414390564,24.13435229290564,1.452363114,0.03308873699999999
condensed GPU N = 50
nz, f, t, status, iter, tot_time, sol_time, fun_eval_time, lin_sol_time
4,983.3467181463493,0.08788490295410156,SOLVE_SUCCEEDED,27.0,0.08788490295410156,0.06371523595410158,0.01651464299999999,0.007655023999999996
5,1092.5487167793326,0.1728808879852295,SOLVE_SUCCEEDED,32.0,0.1728808879852295,0.11372289598522947,0.050077212,0.009080779999999997
6,1263.092823218787,0.23493003845214844,SOLVE_SUCCEEDED,29.0,0.23493003845214844,0.1533604744521484,0.07352601400000004,0.00804355
7,1518.3509911340661,0.41433000564575195,SOLVE_SUCCEEDED,33.0,0.41433000564575195,0.251806780645752,0.15280847699999997,0.009714747999999999
